Zeitpunkt,Kanton,Ort,Höhe,Expo,Aktivität,Gef. Stufe,erfasst,verschüttet,gestorben
6/3/2006,VS,Riddes,2300,W,1,3,1,1,0
7/3/2006,VS,Zermatt,3000,N,2,3,2,1,1
7/3/2006,VS,Bagnes / (Riddes?),2700,W,2,3,1,0,0
7/3/2006,UR,Andermatt,2770,NW,2,3,1,0,0
7/3/2006,BE,Adelboden,2000,NE,2,3,2,0,0
10/3/2006,VS,Zermatt,2180,N,23,3,3,1,0
10/3/2006,BE,Adelboden,1980,W,2,3,1,1,1
10/3/2006,GR,Langwies,2620,E,2,3,2,0,0
12/3/2006,UR,Hospental,1650,NW,3,3,1,0,0
12/3/2006,VS,Nendaz,3210,N,2,3,1,1,0
13/3/2006,GR,Davos,2330,SW,2,3,2,1,1
14/3/2006,BE,Hasliberg,1950,N,2,3,3,3,1
14/3/2006,GR,Langwies,2060,NW,2,3,1,0,0
14/3/2006,GR,Laax,2620,S,2,3,1,0,0
14/3/2006,GR,Bivio,2800,,1,3,1,0,0
14/3/2006,FR,Gruyères,1780,E,2,3,1,0,0
17/3/2006,GL,Matt,2400,SW,1,2,1,0,0
17/3/2006,GR,Susch,2635,NE,1,3,4,1,1
17/3/2006,GR,St. Antönien,2500,NW,1,2,3,0,0
18/3/2006,UR,Andermatt,2250,,2,2,1,1,0
18/3/2006,GR,Davos,0,,1,2,1,0,0
18/3/2006,BE,Grindelwald,2640,SE,,2,2,1,0
19/3/2006,VS,Bourg-Saint-Pierre,2010,N,2,2,2,1,1
19/3/2006,GR,Scuol,2540,SE,2,2,1,0,0
19/3/2006,GR,Tschamutt,1980,SE,1,2,1,1,0
24/3/2006,OW,Engelberg,2330,N,2,2↗︎3,1,0,0
25/3/2006,VS,Hérémence,2425,NW,1,2,2,0,0
26/3/2006,BE,Diemtigen,1760,NW,1,2↗︎3,4,0,0
26/3/2006,VS,Grafschaft,2700,NE,1,2↗︎3,1,0,0
26/3/2006,TI,Bedretto,1950,SE,1,2,2,0,0
27/3/2006,GR,Stampa,1900,NW,1,2↗︎3,1,0,0
30/3/2006,TI,Chironico,2660,N,1,2,3,1,0
31/3/2006,UR,Hospental,2810,N,1,2↗︎3,1,1,0
31/3/2006,GR,Ardez,2768,SW,1,2↗︎3,1,0,0
1/4/2006,TI,Bigniasco,2970,NW,1,2↗︎3,1,0,0
7/4/2006,VS,Zwischbergen,2835,NE,1,2,2,0,0
8/4/2006,VS,Evionnaz,2660,N,1,2,3,1,0
10/4/2006,GR,Bergün/Bravuogn,2340,N,1,(2),2,0,0
10/4/2006,GR,Vals,2660,NE,1,2,3,2,0
